,created_date,tweets,sentiment
0,2019-05-08,Trump Says China VP Coming 'Make Deal ' Tariff Hikes Kick,Neutral
1,2019-05-08,"Riders , Revenue Growth : Analysts Say Lyft 's Q1 Earnings $ LYFT",Neutral
2,2019-05-08,Coffee Cup 'Game Thrones ' : n't Starbucks $ SBUX $,Negative
3,2019-05-08,Parsons IPO : Need Know $ PSN,Neutral
4,2019-05-08,Earnings Update -,Neutral
5,2019-05-08,RT @ Spus : missed today @ Benzinga # PreMarket Prep Show,Neutral
6,2019-05-08,Active Equity ETFs Coming Age $ ARKK $ EMLP $ TSLA,Negative
7,2019-05-08,VIX Breaks Out New Technical Highs Market Sell-Off Intensifies $ VIIX $ VIX $ VXX,Positive
8,2019-05-08,'The Threat Real ' : Protein Supply Chain Disrupted Hog Disease Spreads $ ADM $ TSN,Positive
9,2019-05-08,Pre-Market Activity : Need Know -,Neutral
10,2019-05-08,"Zayo Purchased Digital Colony , EQT $ ZAYO",Neutral
11,2019-05-08,33 Stocks Moving Wednesday 's Pre-Market Session $ OUT $ AVLR $ MTCH $ EA $ EVH $ ELF $ QRVO $ MOS $ INGN $ DDD $ TWOU $ CHK…,Neutral
12,2019-05-08,Colas : Trump 's Tariff Timing Coincidence — Investors n't Worry $ SPY,Neutral
13,2019-05-08,# OTD Market History : First Coca-Cola Sold $ KO,Positive
14,2019-05-08,Q2 Earnings Estimates Perk Up Sector $ XLE $ CVX $ XOM,Neutral
15,2019-05-07,best minds Wall Street lent peek portfolios Monday ’ Ira Sohn Investment Conference.…,Positive
16,2019-05-07,RingCentral Analysts Bullish Company 's Cloud Opportunity $ RNG,Neutral
17,2019-05-07,Glu Mobile Analysts Stay Neutral Mobile Game Maker 's Q1 Print $ GLUU,Negative
18,2019-05-07,Cannabis Insider -,Neutral
19,2019-05-07,Cronos Group Opens Cannabinoid Device R & amp ; Center Israel $ CRON,Negative
20,2019-05-07,Know Lyft 's First Quarterly Earnings Report $ LYFT,Positive
21,2019-05-07,Electronic Arts Shares Higher Q4 Sales Beat $ EA,Positive
22,2019-05-07,VIX Breaks Out New Technical Highs Market Sell-Off Intensifies $ VIX $ VIIX $ VXX,Positive
23,2019-05-07,"Blockchain technologies disrupting government , finance , supply chain healthcare . could mean…",Neutral
24,2019-05-07,Canopy Growth Unveils Spectrum Therapeutics Brand $ CGC,Neutral
25,2019-05-07,Controversy-Mired # KentuckyDerby Set Betting Record,Neutral
26,2019-05-07,Tyson Foods Remains BMO 's 'Top Pick ' Q2 Print $ TSN,Positive
27,2019-05-07,Sonim Technologies IPO : Need Know $ SONM,Neutral
28,2019-05-07,Ctrip Options Trader Buying Trade War Dip $ CTRP,Neutral
29,2019-05-07,"Search Safety , n't Miss Swiss $ EWL $ NVS $ RHHBY $ NSRGY",Neutral
30,2019-05-07,Leaner Meaner : Ford Auto Stock Cramer Likes $ F,Neutral
31,2019-05-07,RT @ Spus : missed today @ Benzinga # PreMarket Prep Show .,Neutral
32,2019-05-07,"Analysts Raise Price Targets GW Pharma 's Positive Earnings , Epidiolex Results $ GWPH $ UNH",Positive
33,2019-05-07,"KeyBanc Likes Alibaba 's Alimama , Sees Upside Potential $ BABA",Neutral
34,2019-05-07,Colas : Trump 's Tariff Timing Coincidence — Investors n't Worry,Neutral
35,2019-05-07,MJ Freeway CEO : 4/20 Holiday Set Legal Cannabis Sales Record,Positive
36,2019-05-07,Barclays Downgrades Boeing Survey Shows Long Road Regaining Passenger Confidence $ BA,Negative
37,2019-05-07,Catalyst Pharma Plummets Competition Pricey LEMS Drug $ CPRX,Neutral
38,2019-05-07,Applied Therapeutics IPO : Need Know $ APLT,Neutral
39,2019-05-07,"Meet Shelby , Corporate Event Client Relations Manager Benzinga # TeamTuesday went school photography…",Neutral
40,2019-05-07,Trump Administration : Higher Tariffs Set Take Effect Friday,Positive
41,2019-05-07,GW Pharma 's CBD Drug Epidiolex Could Secure Label Expansion Following Positive Trial Results $ GWPH,Positive
42,2019-05-07,'s Science Marijuana Makes Sleepy,Neutral
43,2019-05-07,Earnings Update -,Neutral
44,2019-05-07,"Top Ideas 2019 Sohn Conference : AerCap , Cigna , 3M , Zillow $ AER $ CI $ MMM $ ZG",Positive
45,2019-05-07,Lyft Q1 Earnings Preview : First Quarterly Report Public Company $ LYFT,Positive
46,2019-05-07,TD Ameritrade Unveils Big Expansion Commission-Free ETF Roster $ AMTD $ IVZ $ SCHW,Neutral
47,2019-05-07,Pre-Market Activity : Need Know -,Neutral
48,2019-05-07,"GrowGeneration Reports Record Revenue , Increased Guidance $ GRWG",Neutral
49,2019-05-07,Beyond Meat Could Already Subject Shorting Pressure $ BYND $ LYFT,Negative
50,2019-05-07,31 Stocks Moving Tuesday 's Pre-Market Session $ OSMT $ AKRX $ SEDG $ MNK $ GWPH $ AIG $ RACE $ XENT $ DF $ ARMK $ TACO $ VCEL,Neutral
51,2019-05-07,RT @ bradloncar : visited room signed Reims . Awesome hidden secret museum visit ever area.…,Positive
52,2019-05-07,# OTD Market History : Germany Unconditionally Surrenders,Neutral
53,2019-05-07,Axcella Health IPO : Need Know $ AXLA,Neutral
54,2019-05-07,Bubba Watson Believes CBD Golfers 'No Brainer ' $ LEVB,Neutral
55,2019-05-07,Controversy-Mired Kentucky Derby Set Betting Record $ CHDN,Neutral
56,2019-05-06,Buffett Indicator ?,Neutral
57,2019-05-06,Interview One Top Fintech Investment Firms Country,Positive
58,2019-05-06,"Top Ideas 2019 Sohn Conference : AerCap , Cigna , 3M , Zillow $ AER $ GATX $ MMM $ CC $ ZG $ RETA $ UBX…",Positive
59,2019-05-06,Activist Investor Mick McGuire Opposes Acreage-Canopy Growth Deal $ ACRGF $ CGC,Neutral
60,2019-05-06,"Electronic Arts Analyst Stays Neutral Ahead Q4 Report , Says Upcoming 'Star Wars ' Title 'Pivotal ' $ EA",Positive
61,2019-05-06,Technical Bottom ? Chart Paints Bullish Picture AMD $ AMD,Neutral
62,2019-05-06,Mooch Gen. John Kelly Reunite # SALT2019,Neutral
63,2019-05-06,Axsome Shares Rally FDA OKs Expedited Regulatory Filings Depression Drug $ AXSM,Neutral
64,2019-05-06,"Chat CSO Grown Rogue , 'Seed-To-Experience Multistate Cannabis Operator ' $ NVSIF",Neutral
65,2019-05-06,Golden Dividend ETF $ VIG,Positive
66,2019-05-06,2019 Kentucky Derby : One History Books $ CHDN,Neutral
67,2019-05-06,Parsons IPO : Need Know $ PSN,Neutral
68,2019-05-06,'Game Thrones ' Viewers Spot Starbucks Cup Winterfell $ SBUX $,Negative
69,2019-05-06,Barron 's : Investing Coming Wave Millennial Spending $ HD $ NKE,Neutral
70,2019-05-06,Report : China Wants Piece CBD Market,Positive
71,2019-05-06,Wall Street Weighs Tesla 's Capital Raise $ TSLA,Neutral
72,2019-05-06,"RT @ JavierHasse : Two years ago , wrote @ Benzinga # Cannabis : * Public Marijuana Companies Using Stock Make Acquisitions : D…",Neutral
73,2019-05-06,Tim Cook Warren Buffett : ' n't Think 's Better Teacher ' $ AAPL $ BRK.A,Positive
74,2019-05-06,UBS Says Alphabet 'Well-Positioned ' Local Ads $ GOOG $ GOOGL,Neutral
75,2019-05-06,"Pacer Expands Cash Cows , Trendpilot ETF Lineups $ BIL $ PTIN $ COWZ",Neutral
76,2019-05-06,WSJ : Boeing Failed Disclose Known Safety Alert Problem $ BA,Negative
77,2019-05-06,Small-Cap Biotech Esperion Surges FDA Acceptance Cholesterol Drug Applications $ ESPR,Neutral
78,2019-05-06,Lyft Options Trader Makes Bullish Bet Ahead Earnings $ LYFT,Neutral
79,2019-05-06,RT @ Spus : missed today @ Benzinga # PreMarket Prep Show # BFTD still tact (,Neutral
80,2019-05-06,Milestone Pharma IPO : Need Know $ MIST,Neutral
81,2019-05-06,Earnings Update -,Neutral
