,created_date,tweets,sentiment
0,2019-05-08,RT @ TheStreet : Lyft 's partnership Alphabet 's $ GOOGL Waymo mean $ LYFT stock ? @ CramerClub senior portfolio analyst @ jeffma…,Negative
1,2019-05-08,"young , like Joseph Conrad novella Youth.. '' youth , strength , faith , imagi…",Positive
2,2019-05-08,@ CNBCWEX @ SullyCNBC Chinese trade numbers breed sense give behalf chinese -- brinkmanship gr…,Neutral
3,2019-05-08,"amen , thank",Neutral
4,2019-05-08,grateful ... job try teach best . Thanks listening taking class !,Positive
5,2019-05-08,", point , told thought worth tonight 's show . n't going open $ 5…",Positive
6,2019-05-08,Please listen . saying worth . listened tonight know . saying $ 80…,Positive
7,2019-05-08,best issue ... absolute best word deed ... National Mental Health Month meaning…,Positive
8,2019-05-08,"Hey polly , sending cracker Sparky.. Stay focused ...",Neutral
9,2019-05-08,RT @ jasongorevic : Thank @ jimcramer back discuss shared passion : mental health . shared commitment stomp out sti…,Negative
10,2019-05-08,", putting $ 80 out working thesis ... Remember trying calculate price sol…",Neutral
11,2019-05-08,"RT @ TheStreet : markets like , proper portfolio management important ever . Fortunately , @ JimCramer sharing h…",Positive
12,2019-05-08,formulating thesis $ 80 may price makes everything work ... early 's pos…,Positive
13,2019-05-07,car=house . glamorous .,Neutral
14,2019-05-07,"RT @ CNBCFastMoney : Dow posted worst day since January , @ jimcramer tells Fast Money traders investors watch fo…",Negative
15,2019-05-07,"RT @ TheStreet : Well , 'll Twitter least Friday ... . @ JimCramer warn week would problem : …",Negative
16,2019-05-07,RT @ TheStreet : Chevron better off taking money running ? @ JimCramer shares take latest Anadarko $ APC developments…,Positive
17,2019-05-07,"Yes , got right.. n't forget club call Thursday trim !",Positive
18,2019-05-07,n't event feel like something right stormed Winter Palace ?,Positive
19,2019-05-07,Thank much . made day . often feel people call sort perma-bull . week…,Positive
20,2019-05-07,Maybe positive tweet ? n't earnings,Positive
21,2019-05-07,n't said week bad,Negative
22,2019-05-07,"Wow , shocked $ EA good . expect . QRVO much better , another unexpected gem ...",Positive
23,2019-05-07,"RT @ TheStreet : markets like , thing fear ... Twitter ? @ jimCramer breaks down need know markets hea…",Negative
24,2019-05-07,. @ EricJhonsa : Microsoft 's software cloud news Build drive home big-picture thinking,Neutral
25,2019-05-07,RT @ TheStreet : watchlist company reports first round earnings public company ? 's $ LYF…,Positive
26,2019-05-07,. @ EricJhonsa : KLA-Tencor Peers Still Facing Weak Demand Memory Equipment,Negative
27,2019-05-07,RT @ TheStreet : Remember happier days ? Remember Friday ? @ JimCramer breaks down would take market rally :,Negative
28,2019-05-07,RT @ TheStreet : expect disappointed comes $ EA earnings ? @ JimCramer things watch :,Negative
29,2019-05-07,Nasdaq down 2 % n't much considering trade upcoming Uber deal,Positive
30,2019-05-07,"RT @ realmoney : . @ jimcramer wishes Uber could shelve offering trade deadline . , however , going happen.…",Neutral
31,2019-05-07,RT @ TheStreet : $ BYND one names caught @ jimcramer 's attention latest @ RealMoney column :,Positive
32,2019-05-07,theory vegan millennials buying Beyond Meat .,Neutral
33,2019-05-07,'s beyond !,Neutral
34,2019-05-07,would retired decade ago n't care.. thanks ! !,Positive
35,2019-05-07,Surprisingly uneven selling .Think like : Starbucks vulnerable China run like nobody 's business up today ! !,Negative
36,2019-05-07,course Beyond Meat ridiculous affront good stocks going down ...,Positive
37,2019-05-07,"RT @ TheStreet : n't expect Lyft get much $ LYFT , worried Uber . Read @ JimCramer 's latest column @ RealMoney : htt…",Positive
38,2019-05-07,FTC 's $ 3B $ 5B fine Facebook could announced days . @ AnnieGaus breaks down watch :,Positive
39,2019-05-07,"RT @ TheStreet : market n't keeping @ JimCramer up night , trimming favorite names . Check out Act…",Positive
40,2019-05-07,"RT @ TheStreet : game over trade talks ? @ JimCramer @ marKatRoss LIVE 10 ET talking $ EA , $ APC would take $ L…",Negative
41,2019-05-07,"RT @ TheStreet : `` Continued trade tensions would problem tech firms strong Chinese exposure , judging recent co…",Positive
42,2019-05-07,RT @ TheStreet : reminder @ hmeisler take step back look big picture ... charts,Neutral
43,2019-05-07,"Costco huge importer Mexican tomatoes , says man house next miles upon miles Costco tomato fields .",Positive
44,2019-05-07,tire people telling n't know 's out . think Sutton Place ? Greenwic…,Neutral
45,2019-05-07,"lived car , know budget is.. never forget time defines day.. every da…",Neutral
46,2019-05-07,RT @ MadMoneyOnCNBC : . @ JimCramer hard work today navigating market 's moves & amp ; @ OriginalFunko 's latest earnings ! n't miss excl…,Positive
47,2019-05-07,please careful ... ill-advised attitude ... way glib ... sorry n't mean harsh ...,Negative
48,2019-05-07,new battle everyday though ! !,Negative
49,2019-05-07,always dips.. believe me..,Neutral
50,2019-05-07,Tune Thursday 11:30 latest outlook trim market n't seem want com…,Positive
51,2019-05-07,RT @ DanRDimicco : @ carlquintanilla @ jimcramer @ CNBC Going bipartisan ! Schumer tells Trump : Hang tough China . win US ec…,Positive
52,2019-05-07,RT @ DanRDimicco : @ KevinRomeis @ jimcramer Blah blah blah . point admit existential battle China pric…,Neutral
53,2019-05-07,RT @ markjburns88 : guests coming Season 2 Corp Alex Rodriguez Dan Katz include @ jimcramer @ kevinbacon .,Neutral
54,2019-05-07,Great stuff moving manufacturing out China quickly places make better figurines lo…,Positive
55,2019-05-07,wo n't miss minute ! ! ! @ CNBCWEX,Neutral
56,2019-05-07,like people talk feed represents defeatism Chinese . tariffs go ef…,Neutral
57,2019-05-07,200 year game ? allow dissent think would still 200 year game ? mean come on.…,Negative
58,2019-05-07,Indeed understand status quo license nation defeated Chinese ... .,Neutral
59,2019-05-07,"thank , must keep show fresh interesting ...",Positive
60,2019-05-07,"True , president thinks does.. consumers hit ? retailers absorbed almost everything…",Positive
61,2019-05-07,point/price built tariffs going up ? point people realize Secretary Mn…,Neutral
62,2019-05-07,raised cash readying tariffs up Friday ... .,Neutral
